2000m SC,3000m,3000m SC,2 Miles,5000m,10000m,Points
6:17.78,8:51.39,9:43.77,9:30.90,15:14.79,32:05.18,1135
6:18.00,8:51.69,9:44.17,9:31.22,15:15.32,32:06.31,1134
6:18.22,8:51.98,9:44.58,9:31.54,15:15.84,32:07.45,1133
6:18.44,8:52.28,9:44.99,9:31.86,15:16.36,32:08.58,1132
6:18.66,8:52.57,9:45.40,9:32.18,15:16.88,32:09.72,1131
6:18.89,8:52.87,9:45.81,9:32.50,15:17.41,32:10.86,1130
6:19.11,8:53.16,9:46.22,9:32.82,15:17.93,32:11.99,1129
6:19.33,8:53.46,9:46.63,9:33.14,15:18.45,32:13.13,1128
6:19.55,8:53.76,9:47.04,9:33.46,15:18.98,32:14.27,1127
6:19.77,8:54.05,9:47.45,9:33.78,15:19.50,32:15.41,1126
6:19.99,8:54.35,9:47.86,9:34.11,15:20.03,32:16.55,1125
6:20.22,8:54.64,9:48.27,9:34.43,15:20.55,32:17.69,1124
6:20.44,8:54.94,9:48.68,9:34.75,15:21.08,32:18.83,1123
6:20.66,8:55.23,9:49.09,9:35.07,15:21.60,32:19.97,1122
6:20.88,8:55.53,9:49.50,9:35.39,15:22.13,32:21.11,1121
6:21.11,8:55.83,9:49.91,9:35.71,15:22.65,32:22.25,1120
6:21.33,8:56.12,9:50.32,9:36.03,15:23.18,32:23.39,1119
6:21.55,8:56.42,9:50.73,9:36.36,15:23.70,32:24.54,1118
6:21.78,8:56.72,9:51.14,9:36.68,15:24.23,32:25.68,1117
6:22.00,8:57.01,9:51.55,9:37.00,15:24.76,32:26.82,1116
6:22.22,8:57.31,9:51.96,9:37.32,15:25.28,32:27.97,1115
6:22.45,8:57.61,9:52.38,9:37.64,15:25.81,32:29.11,1114
6:22.67,8:57.91,9:52.79,9:37.97,15:26.34,32:30.26,1113
6:22.89,8:58.20,9:53.20,9:38.29,15:26.86,32:31.40,1112
6:23.12,8:58.50,9:53.61,9:38.61,15:27.39,32:32.55,1111
6:23.34,8:58.80,9:54.02,9:38.94,15:27.92,32:33.69,1110
6:23.56,8:59.10,9:54.44,9:39.26,15:28.45,32:34.84,1109
6:23.79,8:59.40,9:54.85,9:39.58,15:28.98,32:35.99,1108
6:24.01,8:59.69,9:55.26,9:39.91,15:29.50,32:37.14,1107
6:24.24,8:59.99,9:55.68,9:40.23,15:30.03,32:38.29,1106
6:24.46,9:00.29,9:56.09,9:40.55,15:30.56,32:39.44,1105
6:24.68,9:00.59,9:56.50,9:40.88,15:31.09,32:40.59,1104
6:24.91,9:00.89,9:56.92,9:41.20,15:31.62,32:41.74,1103
6:25.13,9:01.19,9:57.33,9:41.53,15:32.15,32:42.89,1102
6:25.36,9:01.49,9:57.75,9:41.85,15:32.68,32:44.04,1101
6:25.58,9:01.78,9:58.16,9:42.17,15:33.21,32:45.19,1100
6:25.81,9:02.08,9:58.57,9:42.50,15:33.74,32:46.34,1099
6:26.03,9:02.38,9:58.99,9:42.82,15:34.27,32:47.50,1098
6:26.26,9:02.68,9:59.40,9:43.15,15:34.80,32:48.65,1097
6:26.48,9:02.98,9:59.82,9:43.47,15:35.33,32:49.80,1096
