600m,800m,1000m,1500m,Mile,2000m,Points
1:30.36,2:06.75,2:44.60,4:20.74,4:40.50,5:57.00,1045
1:30.41,2:06.81,2:44.68,4:20.87,4:40.64,5:57.18,1044
1:30.45,2:06.87,2:44.76,4:21.00,4:40.78,5:57.37,1043
1:30.50,2:06.93,2:44.84,4:21.14,4:40.93,5:57.56,1042
1:30.54,2:06.99,2:44.92,4:21.27,4:41.07,5:57.75,1041
1:30.59,2:07.05,2:44.99,4:21.41,4:41.21,5:57.94,1040
1:30.63,2:07.11,2:45.07,4:21.54,4:41.36,5:58.13,1039
1:30.68,2:07.16,2:45.15,4:21.67,4:41.50,5:58.31,1038
1:30.72,2:07.22,2:45.23,4:21.81,4:41.64,5:58.50,1037
1:30.77,2:07.28,2:45.31,4:21.94,4:41.79,5:58.69,1036
1:30.81,2:07.34,2:45.39,4:22.08,4:41.93,5:58.88,1035
1:30.86,2:07.40,2:45.47,4:22.21,4:42.08,5:59.07,1034
1:30.90,2:07.46,2:45.55,4:22.34,4:42.22,5:59.26,1033
1:30.95,2:07.52,2:45.63,4:22.48,4:42.36,5:59.45,1032
1:30.99,2:07.58,2:45.71,4:22.61,4:42.51,5:59.64,1031
1:31.04,2:07.64,2:45.79,4:22.75,4:42.65,5:59.83,1030
1:31.08,2:07.70,2:45.87,4:22.88,4:42.80,6:00.02,1029
1:31.13,2:07.76,2:45.95,4:23.02,4:42.94,6:00.21,1028
1:31.17,2:07.82,2:46.03,4:23.15,4:43.09,6:00.39,1027
1:31.22,2:07.88,2:46.11,4:23.29,4:43.23,6:00.58,1026
1:31.26,2:07.94,2:46.19,4:23.42,4:43.38,6:00.77,1025
1:31.31,2:08.00,2:46.27,4:23.56,4:43.52,6:00.96,1024
1:31.35,2:08.06,2:46.35,4:23.69,4:43.67,6:01.15,1023
1:31.40,2:08.12,2:46.43,4:23.83,4:43.81,6:01.34,1022
1:31.45,2:08.17,2:46.51,4:23.96,4:43.96,6:01.53,1021
1:31.49,2:08.23,2:46.59,4:24.10,4:44.10,6:01.72,1020
1:31.54,2:08.29,2:46.67,4:24.23,4:44.25,6:01.92,1019
1:31.58,2:08.35,2:46.75,4:24.37,4:44.39,6:02.11,1018
1:31.63,2:08.41,2:46.83,4:24.50,4:44.54,6:02.30,1017
1:31.67,2:08.47,2:46.91,4:24.64,4:44.68,6:02.49,1016
1:31.72,2:08.53,2:46.99,4:24.77,4:44.83,6:02.68,1015
1:31.76,2:08.59,2:47.07,4:24.91,4:44.97,6:02.87,1014
1:31.81,2:08.65,2:47.15,4:25.05,4:45.12,6:03.06,1013
1:31.85,2:08.71,2:47.23,4:25.18,4:45.26,6:03.25,1012
1:31.90,2:08.77,2:47.31,4:25.32,4:45.41,6:03.44,1011
1:31.95,2:08.83,2:47.39,4:25.45,4:45.55,6:03.63,1010
1:31.99,2:08.89,2:47.47,4:25.59,4:45.70,6:03.82,1009
1:32.04,2:08.95,2:47.55,4:25.73,4:45.85,6:04.02,1008
1:32.08,2:09.01,2:47.63,4:25.86,4:45.99,6:04.21,1007
1:32.13,2:09.07,2:47.71,4:26.00,4:46.14,6:04.40,1006
1:32.17,2:09.13,2:47.79,4:26.13,4:46.28,6:04.59,1005
1:32.22,2:09.19,2:47.88,4:26.27,4:46.43,6:04.78,1004
1:32.26,2:09.25,2:47.96,4:26.41,4:46.58,6:04.97,1003
1:32.31,2:09.31,2:48.04,4:26.54,4:46.72,6:05.17,1002
1:32.36,2:09.37,2:48.12,4:26.68,4:46.87,6:05.36,1001
1:32.40,2:09.43,2:48.20,4:26.82,4:47.02,6:05.55,1000
1:32.45,2:09.49,2:48.28,4:26.95,4:47.16,6:05.74,999
1:32.49,2:09.55,2:48.36,4:27.09,4:47.31,6:05.93,998
1:32.54,2:09.62,2:48.44,4:27.23,4:47.46,6:06.13,997
1:32.59,2:09.68,2:48.52,4:27.36,4:47.60,6:06.32,996
1:32.63,2:09.74,2:48.60,4:27.50,4:47.75,6:06.51,995
1:32.68,2:09.80,2:48.68,4:27.64,4:47.90,6:06.71,994
1:32.72,2:09.86,2:48.77,4:27.77,4:48.04,6:06.90,993
1:32.77,2:09.92,2:48.85,4:27.91,4:48.19,6:07.09,992
1:32.82,2:09.98,2:48.93,4:28.05,4:48.34,6:07.28,991
1:32.86,2:10.04,2:49.01,4:28.19,4:48.48,6:07.48,990
1:32.91,2:10.10,2:49.09,4:28.32,4:48.63,6:07.67,989
1:32.95,2:10.16,2:49.17,4:28.46,4:48.78,6:07.86,988
1:33.00,2:10.22,2:49.25,4:28.60,4:48.93,6:08.06,987
1:33.05,2:10.28,2:49.34,4:28.73,4:49.07,6:08.25,986
1:33.09,2:10.34,2:49.42,4:28.87,4:49.22,6:08.44,985
1:33.14,2:10.40,2:49.50,4:29.01,4:49.37,6:08.64,984
1:33.18,2:10.46,2:49.58,4:29.15,4:49.52,6:08.83,983
1:33.23,2:10.52,2:49.66,4:29.29,4:49.66,6:09.03,982
1:33.28,2:10.59,2:49.74,4:29.42,4:49.81,6:09.22,981
1:33.32,2:10.65,2:49.82,4:29.56,4:49.96,6:09.41,980
1:33.37,2:10.71,2:49.91,4:29.70,4:50.11,6:09.61,979
1:33.42,2:10.77,2:49.99,4:29.84,4:50.26,6:09.80,978
1:33.46,2:10.83,2:50.07,4:29.98,4:50.40,6:10.00,977
1:33.51,2:10.89,2:50.15,4:30.11,4:50.55,6:10.19,976
1:33.55,2:10.95,2:50.23,4:30.25,4:50.70,6:10.39,975
1:33.60,2:11.01,2:50.32,4:30.39,4:50.85,6:10.58,974
1:33.65,2:11.07,2:50.40,4:30.53,4:51.00,6:10.78,973
1:33.69,2:11.13,2:50.48,4:30.67,4:51.15,6:10.97,972
1:33.74,2:11.20,2:50.56,4:30.81,4:51.30,6:11.17,971
1:33.79,2:11.26,2:50.64,4:30.94,4:51.44,6:11.36,970
1:33.83,2:11.32,2:50.73,4:31.08,4:51.59,6:11.56,969
1:33.88,2:11.38,2:50.81,4:31.22,4:51.74,6:11.75,968
1:33.93,2:11.44,2:50.89,4:31.36,4:51.89,6:11.95,967
1:33.97,2:11.50,2:50.97,4:31.50,4:52.04,6:12.14,966
1:34.02,2:11.56,2:51.06,4:31.64,4:52.19,6:12.34,965
1:34.07,2:11.62,2:51.14,4:31.78,4:52.34,6:12.53,964
1:34.11,2:11.69,2:51.22,4:31.92,4:52.49,6:12.73,963
1:34.16,2:11.75,2:51.30,4:32.06,4:52.64,6:12.93,962
1:34.21,2:11.81,2:51.39,4:32.20,4:52.79,6:13.12,961
1:34.25,2:11.87,2:51.47,4:32.34,4:52.94,6:13.32,960
1:34.30,2:11.93,2:51.55,4:32.47,4:53.08,6:13.51,959
1:34.35,2:11.99,2:51.63,4:32.61,4:53.23,6:13.71,958
1:34.39,2:12.05,2:51.72,4:32.75,4:53.38,6:13.91,957
1:34.44,2:12.12,2:51.80,4:32.89,4:53.53,6:14.10,956
1:34.49,2:12.18,2:51.88,4:33.03,4:53.68,6:14.30,955
1:34.53,2:12.24,2:51.96,4:33.17,4:53.83,6:14.50,954
1:34.58,2:12.30,2:52.05,4:33.31,4:53.98,6:14.69,953
1:34.63,2:12.36,2:52.13,4:33.45,4:54.13,6:14.89,952
1:34.67,2:12.43,2:52.21,4:33.59,4:54.28,6:15.09,951
1:34.72,2:12.49,2:52.30,4:33.73,4:54.43,6:15.28,950
1:34.77,2:12.55,2:52.38,4:33.87,4:54.58,6:15.48,949
1:34.82,2:12.61,2:52.46,4:34.01,4:54.73,6:15.68,948
1:34.86,2:12.67,2:52.54,4:34.15,4:54.89,6:15.88,947
1:34.91,2:12.73,2:52.63,4:34.29,4:55.04,6:16.07,946
1:34.96,2:12.80,2:52.71,4:34.43,4:55.19,6:16.27,945
1:35.00,2:12.86,2:52.79,4:34.58,4:55.34,6:16.47,944
1:35.05,2:12.92,2:52.88,4:34.72,4:55.49,6:16.67,943
1:35.10,2:12.98,2:52.96,4:34.86,4:55.64,6:16.87,942
1:35.15,2:13.04,2:53.04,4:35.00,4:55.79,6:17.06,941
1:35.19,2:13.11,2:53.13,4:35.14,4:55.94,6:17.26,940
1:35.24,2:13.17,2:53.21,4:35.28,4:56.09,6:17.46,939
1:35.29,2:13.23,2:53.29,4:35.42,4:56.24,6:17.66,938
1:35.33,2:13.29,2:53.38,4:35.56,4:56.39,6:17.86,937
1:35.38,2:13.36,2:53.46,4:35.70,4:56.55,6:18.06,936
1:35.43,2:13.42,2:53.55,4:35.84,4:56.70,6:18.25,935
1:35.48,2:13.48,2:53.63,4:35.98,4:56.85,6:18.45,934
1:35.52,2:13.54,2:53.71,4:36.13,4:57.00,6:18.65,933
1:35.57,2:13.61,2:53.80,4:36.27,4:57.15,6:18.85,932
1:35.62,2:13.67,2:53.88,4:36.41,4:57.30,6:19.05,931
1:35.67,2:13.73,2:53.96,4:36.55,4:57.46,6:19.25,930
1:35.71,2:13.79,2:54.05,4:36.69,4:57.61,6:19.45,929
1:35.76,2:13.86,2:54.13,4:36.83,4:57.76,6:19.65,928
1:35.81,2:13.92,2:54.22,4:36.98,4:57.91,6:19.85,927
1:35.86,2:13.98,2:54.30,4:37.12,4:58.06,6:20.05,926
1:35.90,2:14.04,2:54.38,4:37.26,4:58.22,6:20.25,925
1:35.95,2:14.11,2:54.47,4:37.40,4:58.37,6:20.45,924
1:36.00,2:14.17,2:54.55,4:37.54,4:58.52,6:20.65,923
1:36.05,2:14.23,2:54.64,4:37.69,4:58.67,6:20.85,922
1:36.09,2:14.29,2:54.72,4:37.83,4:58.83,6:21.05,921
1:36.14,2:14.36,2:54.81,4:37.97,4:58.98,6:21.25,920
1:36.19,2:14.42,2:54.89,4:38.11,4:59.13,6:21.45,919
1:36.24,2:14.48,2:54.97,4:38.26,4:59.28,6:21.65,918
1:36.29,2:14.55,2:55.06,4:38.40,4:59.44,6:21.85,917
1:36.33,2:14.61,2:55.14,4:38.54,4:59.59,6:22.05,916
1:36.38,2:14.67,2:55.23,4:38.68,4:59.74,6:22.25,915
1:36.43,2:14.73,2:55.31,4:38.83,4:59.90,6:22.45,914
1:36.48,2:14.80,2:55.40,4:38.97,5:00.05,6:22.65,913
1:36.52,2:14.86,2:55.48,4:39.11,5:00.20,6:22.86,912
1:36.57,2:14.92,2:55.57,4:39.26,5:00.36,6:23.06,911
1:36.62,2:14.99,2:55.65,4:39.40,5:00.51,6:23.26,910
1:36.67,2:15.05,2:55.74,4:39.54,5:00.66,6:23.46,909
1:36.72,2:15.11,2:55.82,4:39.69,5:00.82,6:23.66,908
1:36.77,2:15.18,2:55.91,4:39.83,5:00.97,6:23.86,907
1:36.81,2:15.24,2:55.99,4:39.97,5:01.13,6:24.06,906
1:36.86,2:15.30,2:56.08,4:40.12,5:01.28,6:24.27,905
1:36.91,2:15.37,2:56.16,4:40.26,5:01.43,6:24.47,904
1:36.96,2:15.43,2:56.25,4:40.40,5:01.59,6:24.67,903
1:37.01,2:15.49,2:56.33,4:40.55,5:01.74,6:24.87,902
1:37.05,2:15.56,2:56.42,4:40.69,5:01.90,6:25.08,901
1:37.10,2:15.62,2:56.50,4:40.83,5:02.05,6:25.28,900
1:37.15,2:15.68,2:56.59,4:40.98,5:02.20,6:25.48,899
1:37.20,2:15.75,2:56.67,4:41.12,5:02.36,6:25.68,898
1:37.25,2:15.81,2:56.76,4:41.27,5:02.51,6:25.89,897
1:37.30,2:15.88,2:56.84,4:41.41,5:02.67,6:26.09,896
1:37.34,2:15.94,2:56.93,4:41.56,5:02.82,6:26.29,895
1:37.39,2:16.00,2:57.01,4:41.70,5:02.98,6:26.50,894
1:37.44,2:16.07,2:57.10,4:41.84,5:03.13,6:26.70,893
1:37.49,2:16.13,2:57.19,4:41.99,5:03.29,6:26.90,892
1:37.54,2:16.19,2:57.27,4:42.13,5:03.44,6:27.11,891
1:37.59,2:16.26,2:57.36,4:42.28,5:03.60,6:27.31,890
1:37.63,2:16.32,2:57.44,4:42.42,5:03.75,6:27.51,889
1:37.68,2:16.39,2:57.53,4:42.57,5:03.91,6:27.72,888
1:37.73,2:16.45,2:57.61,4:42.71,5:04.07,6:27.92,887
1:37.78,2:16.51,2:57.70,4:42.86,5:04.22,6:28.13,886
1:37.83,2:16.58,2:57.79,4:43.00,5:04.38,6:28.33,885
1:37.88,2:16.64,2:57.87,4:43.15,5:04.53,6:28.54,884
1:37.93,2:16.71,2:57.96,4:43.29,5:04.69,6:28.74,883
1:37.98,2:16.77,2:58.04,4:43.44,5:04.84,6:28.94,882
1:38.02,2:16.83,2:58.13,4:43.58,5:05.00,6:29.15,881
1:38.07,2:16.90,2:58.22,4:43.73,5:05.16,6:29.35,880
1:38.12,2:16.96,2:58.30,4:43.88,5:05.31,6:29.56,879
1:38.17,2:17.03,2:58.39,4:44.02,5:05.47,6:29.76,878
1:38.22,2:17.09,2:58.48,4:44.17,5:05.62,6:29.97,877
1:38.27,2:17.16,2:58.56,4:44.31,5:05.78,6:30.17,876
1:38.32,2:17.22,2:58.65,4:44.46,5:05.94,6:30.38,875
1:38.37,2:17.29,2:58.74,4:44.61,5:06.09,6:30.59,874
1:38.42,2:17.35,2:58.82,4:44.75,5:06.25,6:30.79,873
1:38.46,2:17.41,2:58.91,4:44.90,5:06.41,6:31.00,872
1:38.51,2:17.48,2:58.99,4:45.04,5:06.57,6:31.20,871
1:38.56,2:17.54,2:59.08,4:45.19,5:06.72,6:31.41,870
1:38.61,2:17.61,2:59.17,4:45.34,5:06.88,6:31.61,869
1:38.66,2:17.67,2:59.26,4:45.48,5:07.04,6:31.82,868
1:38.71,2:17.74,2:59.34,4:45.63,5:07.19,6:32.03,867
1:38.76,2:17.80,2:59.43,4:45.78,5:07.35,6:32.23,866
1:38.81,2:17.87,2:59.52,4:45.92,5:07.51,6:32.44,865
1:38.86,2:17.93,2:59.60,4:46.07,5:07.67,6:32.65,864
1:38.91,2:18.00,2:59.69,4:46.22,5:07.82,6:32.85,863
1:38.96,2:18.06,2:59.78,4:46.36,5:07.98,6:33.06,862
1:39.01,2:18.13,2:59.86,4:46.51,5:08.14,6:33.27,861
1:39.06,2:18.19,2:59.95,4:46.66,5:08.30,6:33.48,860
1:39.10,2:18.26,3:00.04,4:46.81,5:08.46,6:33.68,859
1:39.15,2:18.32,3:00.13,4:46.95,5:08.61,6:33.89,858
1:39.20,2:18.39,3:00.21,4:47.10,5:08.77,6:34.10,857
1:39.25,2:18.45,3:00.30,4:47.25,5:08.93,6:34.31,856
1:39.30,2:18.52,3:00.39,4:47.40,5:09.09,6:34.51,855
1:39.35,2:18.58,3:00.48,4:47.54,5:09.25,6:34.72,854
1:39.40,2:18.65,3:00.56,4:47.69,5:09.41,6:34.93,853
1:39.45,2:18.71,3:00.65,4:47.84,5:09.56,6:35.14,852
1:39.50,2:18.78,3:00.74,4:47.99,5:09.72,6:35.35,851
1:39.55,2:18.84,3:00.83,4:48.14,5:09.88,6:35.55,850
1:39.60,2:18.91,3:00.91,4:48.28,5:10.04,6:35.76,849
1:39.65,2:18.97,3:01.00,4:48.43,5:10.20,6:35.97,848
1:39.70,2:19.04,3:01.09,4:48.58,5:10.36,6:36.18,847
1:39.75,2:19.11,3:01.18,4:48.73,5:10.52,6:36.39,846
1:39.80,2:19.17,3:01.27,4:48.88,5:10.68,6:36.60,845
1:39.85,2:19.24,3:01.35,4:49.03,5:10.84,6:36.81,844
1:39.90,2:19.30,3:01.44,4:49.18,5:11.00,6:37.02,843
1:39.95,2:19.37,3:01.53,4:49.32,5:11.16,6:37.23,842
1:40.00,2:19.43,3:01.62,4:49.47,5:11.32,6:37.44,841
1:40.05,2:19.50,3:01.71,4:49.62,5:11.47,6:37.65,840
1:40.10,2:19.57,3:01.79,4:49.77,5:11.63,6:37.86,839
1:40.15,2:19.63,3:01.88,4:49.92,5:11.79,6:38.07,838
1:40.20,2:19.70,3:01.97,4:50.07,5:11.95,6:38.28,837
1:40.25,2:19.76,3:02.06,4:50.22,5:12.12,6:38.49,836
1:40.30,2:19.83,3:02.15,4:50.37,5:12.28,6:38.70,835
1:40.35,2:19.89,3:02.24,4:50.52,5:12.44,6:38.91,834
1:40.40,2:19.96,3:02.33,4:50.67,5:12.60,6:39.12,833
1:40.45,2:20.03,3:02.41,4:50.82,5:12.76,6:39.33,832
1:40.50,2:20.09,3:02.50,4:50.97,5:12.92,6:39.54,831
1:40.55,2:20.16,3:02.59,4:51.12,5:13.08,6:39.75,830
1:40.60,2:20.23,3:02.68,4:51.27,5:13.24,6:39.96,829
1:40.65,2:20.29,3:02.77,4:51.42,5:13.40,6:40.17,828
1:40.70,2:20.36,3:02.86,4:51.57,5:13.56,6:40.38,827
1:40.75,2:20.42,3:02.95,4:51.72,5:13.72,6:40.59,826
1:40.80,2:20.49,3:03.04,4:51.87,5:13.88,6:40.81,825
1:40.85,2:20.56,3:03.13,4:52.02,5:14.04,6:41.02,824
1:40.90,2:20.62,3:03.21,4:52.17,5:14.21,6:41.23,823
1:40.95,2:20.69,3:03.30,4:52.32,5:14.37,6:41.44,822
1:41.00,2:20.76,3:03.39,4:52.47,5:14.53,6:41.65,821
1:41.05,2:20.82,3:03.48,4:52.62,5:14.69,6:41.87,820
1:41.10,2:20.89,3:03.57,4:52.77,5:14.85,6:42.08,819
1:41.16,2:20.96,3:03.66,4:52.92,5:15.01,6:42.29,818
1:41.21,2:21.02,3:03.75,4:53.07,5:15.18,6:42.50,817
1:41.26,2:21.09,3:03.84,4:53.22,5:15.34,6:42.72,816
1:41.31,2:21.16,3:03.93,4:53.38,5:15.50,6:42.93,815
1:41.36,2:21.22,3:04.02,4:53.53,5:15.66,6:43.14,814
1:41.41,2:21.29,3:04.11,4:53.68,5:15.83,6:43.35,813
1:41.46,2:21.36,3:04.20,4:53.83,5:15.99,6:43.57,812
1:41.51,2:21.42,3:04.29,4:53.98,5:16.15,6:43.78,811
1:41.56,2:21.49,3:04.38,4:54.13,5:16.31,6:43.99,810
1:41.61,2:21.56,3:04.47,4:54.29,5:16.48,6:44.21,809
1:41.66,2:21.62,3:04.56,4:54.44,5:16.64,6:44.42,808
1:41.71,2:21.69,3:04.65,4:54.59,5:16.80,6:44.64,807
1:41.77,2:21.76,3:04.74,4:54.74,5:16.97,6:44.85,806
1:41.82,2:21.83,3:04.83,4:54.89,5:17.13,6:45.06,805
1:41.87,2:21.89,3:04.92,4:55.05,5:17.29,6:45.28,804
1:41.92,2:21.96,3:05.01,4:55.20,5:17.46,6:45.49,803
1:41.97,2:22.03,3:05.10,4:55.35,5:17.62,6:45.71,802
1:42.02,2:22.09,3:05.19,4:55.50,5:17.78,6:45.92,801
1:42.07,2:22.16,3:05.28,4:55.66,5:17.95,6:46.14,800
1:42.12,2:22.23,3:05.37,4:55.81,5:18.11,6:46.35,799
1:42.17,2:22.30,3:05.46,4:55.96,5:18.27,6:46.57,798
1:42.23,2:22.36,3:05.55,4:56.11,5:18.44,6:46.78,797
1:42.28,2:22.43,3:05.64,4:56.27,5:18.60,6:47.00,796
1:42.33,2:22.50,3:05.73,4:56.42,5:18.77,6:47.21,795
1:42.38,2:22.57,3:05.82,4:56.57,5:18.93,6:47.43,794
1:42.43,2:22.64,3:05.91,4:56.73,5:19.10,6:47.64,793
1:42.48,2:22.70,3:06.01,4:56.88,5:19.26,6:47.86,792
1:42.53,2:22.77,3:06.10,4:57.03,5:19.42,6:48.08,791
1:42.59,2:22.84,3:06.19,4:57.19,5:19.59,6:48.29,790
1:42.64,2:22.91,3:06.28,4:57.34,5:19.75,6:48.51,789
1:42.69,2:22.97,3:06.37,4:57.50,5:19.92,6:48.73,788
1:42.74,2:23.04,3:06.46,4:57.65,5:20.08,6:48.94,787
1:42.79,2:23.11,3:06.55,4:57.80,5:20.25,6:49.16,786
1:42.84,2:23.18,3:06.64,4:57.96,5:20.41,6:49.38,785
1:42.90,2:23.25,3:06.73,4:58.11,5:20.58,6:49.59,784
1:42.95,2:23.31,3:06.83,4:58.27,5:20.75,6:49.81,783
1:43.00,2:23.38,3:06.92,4:58.42,5:20.91,6:50.03,782
1:43.05,2:23.45,3:07.01,4:58.58,5:21.08,6:50.24,781
1:43.10,2:23.52,3:07.10,4:58.73,5:21.24,6:50.46,780
1:43.15,2:23.59,3:07.19,4:58.88,5:21.41,6:50.68,779
1:43.21,2:23.66,3:07.28,4:59.04,5:21.57,6:50.90,778
1:43.26,2:23.72,3:07.38,4:59.19,5:21.74,6:51.12,777
1:43.31,2:23.79,3:07.47,4:59.35,5:21.91,6:51.33,776
1:43.36,2:23.86,3:07.56,4:59.50,5:22.07,6:51.55,775
1:43.41,2:23.93,3:07.65,4:59.66,5:22.24,6:51.77,774
1:43.47,2:24.00,3:07.74,4:59.81,5:22.41,6:51.99,773
1:43.52,2:24.07,3:07.84,4:59.97,5:22.57,6:52.21,772
1:43.57,2:24.13,3:07.93,5:00.13,5:22.74,6:52.43,771
1:43.62,2:24.20,3:08.02,5:00.28,5:22.91,6:52.65,770
1:43.67,2:24.27,3:08.11,5:00.44,5:23.07,6:52.87,769
1:43.73,2:24.34,3:08.20,5:00.59,5:23.24,6:53.08,768
1:43.78,2:24.41,3:08.30,5:00.75,5:23.41,6:53.30,767
1:43.83,2:24.48,3:08.39,5:00.90,5:23.58,6:53.52,766
1:43.88,2:24.55,3:08.48,5:01.06,5:23.74,6:53.74,765
1:43.94,2:24.62,3:08.57,5:01.22,5:23.91,6:53.96,764
1:43.99,2:24.69,3:08.67,5:01.37,5:24.08,6:54.18,763
1:44.04,2:24.75,3:08.76,5:01.53,5:24.25,6:54.40,762
1:44.09,2:24.82,3:08.85,5:01.69,5:24.41,6:54.62,761
1:44.15,2:24.89,3:08.94,5:01.84,5:24.58,6:54.84,760
1:44.20,2:24.96,3:09.04,5:02.00,5:24.75,6:55.06,759
1:44.25,2:25.03,3:09.13,5:02.16,5:24.92,6:55.29,758
1:44.30,2:25.10,3:09.22,5:02.31,5:25.09,6:55.51,757
1:44.36,2:25.17,3:09.32,5:02.47,5:25.25,6:55.73,756
1:44.41,2:25.24,3:09.41,5:02.63,5:25.42,6:55.95,755
1:44.46,2:25.31,3:09.50,5:02.78,5:25.59,6:56.17,754
1:44.51,2:25.38,3:09.60,5:02.94,5:25.76,6:56.39,753
1:44.57,2:25.45,3:09.69,5:03.10,5:25.93,6:56.61,752
1:44.62,2:25.52,3:09.78,5:03.26,5:26.10,6:56.83,751
1:44.67,2:25.59,3:09.88,5:03.41,5:26.27,6:57.06,750
1:44.73,2:25.66,3:09.97,5:03.57,5:26.44,6:57.28,749
1:44.78,2:25.73,3:10.06,5:03.73,5:26.61,6:57.50,748
1:44.83,2:25.80,3:10.16,5:03.89,5:26.78,6:57.72,747
1:44.89,2:25.87,3:10.25,5:04.05,5:26.94,6:57.95,746
1:44.94,2:25.93,3:10.34,5:04.20,5:27.11,6:58.17,745
1:44.99,2:26.00,3:10.44,5:04.36,5:27.28,6:58.39,744
1:45.04,2:26.07,3:10.53,5:04.52,5:27.45,6:58.61,743
1:45.10,2:26.14,3:10.62,5:04.68,5:27.62,6:58.84,742
1:45.15,2:26.21,3:10.72,5:04.84,5:27.79,6:59.06,741
1:45.20,2:26.28,3:10.81,5:05.00,5:27.96,6:59.28,740
1:45.26,2:26.35,3:10.91,5:05.16,5:28.13,6:59.51,739
1:45.31,2:26.43,3:11.00,5:05.32,5:28.31,6:59.73,738
1:45.36,2:26.50,3:11.10,5:05.47,5:28.48,6:59.95,737
1:45.42,2:26.57,3:11.19,5:05.63,5:28.65,7:00.18,736
1:45.47,2:26.64,3:11.28,5:05.79,5:28.82,7:00.40,735
1:45.52,2:26.71,3:11.38,5:05.95,5:28.99,7:00.63,734
1:45.58,2:26.78,3:11.47,5:06.11,5:29.16,7:00.85,733
1:45.63,2:26.85,3:11.57,5:06.27,5:29.33,7:01.08,732
1:45.68,2:26.92,3:11.66,5:06.43,5:29.50,7:01.30,731
1:45.74,2:26.99,3:11.76,5:06.59,5:29.67,7:01.53,730
1:45.79,2:27.06,3:11.85,5:06.75,5:29.84,7:01.75,729
1:45.85,2:27.13,3:11.95,5:06.91,5:30.02,7:01.98,728
1:45.90,2:27.20,3:12.04,5:07.07,5:30.19,7:02.20,727
1:45.95,2:27.27,3:12.14,5:07.23,5:30.36,7:02.43,726
1:46.01,2:27.34,3:12.23,5:07.39,5:30.53,7:02.65,725
1:46.06,2:27.41,3:12.33,5:07.55,5:30.70,7:02.88,724
1:46.11,2:27.48,3:12.42,5:07.71,5:30.88,7:03.10,723
1:46.17,2:27.55,3:12.52,5:07.87,5:31.05,7:03.33,722
1:46.22,2:27.62,3:12.61,5:08.03,5:31.22,7:03.56,721
1:46.28,2:27.70,3:12.71,5:08.19,5:31.39,7:03.78,720
1:46.33,2:27.77,3:12.80,5:08.36,5:31.57,7:04.01,719
1:46.38,2:27.84,3:12.90,5:08.52,5:31.74,7:04.24,718
1:46.44,2:27.91,3:12.99,5:08.68,5:31.91,7:04.46,717
1:46.49,2:27.98,3:13.09,5:08.84,5:32.09,7:04.69,716
1:46.55,2:28.05,3:13.18,5:09.00,5:32.26,7:04.92,715
1:46.60,2:28.12,3:13.28,5:09.16,5:32.43,7:05.14,714
1:46.65,2:28.19,3:13.38,5:09.32,5:32.61,7:05.37,713
1:46.71,2:28.27,3:13.47,5:09.49,5:32.78,7:05.60,712
1:46.76,2:28.34,3:13.57,5:09.65,5:32.95,7:05.83,711
1:46.82,2:28.41,3:13.66,5:09.81,5:33.13,7:06.06,710
1:46.87,2:28.48,3:13.76,5:09.97,5:33.30,7:06.28,709
1:46.93,2:28.55,3:13.86,5:10.13,5:33.47,7:06.51,708
1:46.98,2:28.62,3:13.95,5:10.30,5:33.65,7:06.74,707
1:47.04,2:28.70,3:14.05,5:10.46,5:33.82,7:06.97,706
1:47.09,2:28.77,3:14.14,5:10.62,5:34.00,7:07.20,705
1:47.14,2:28.84,3:14.24,5:10.78,5:34.17,7:07.43,704
1:47.20,2:28.91,3:14.34,5:10.95,5:34.35,7:07.66,703
1:47.25,2:28.98,3:14.43,5:11.11,5:34.52,7:07.89,702
1:47.31,2:29.05,3:14.53,5:11.27,5:34.70,7:08.12,701
1:47.36,2:29.13,3:14.63,5:11.44,5:34.87,7:08.35,700
1:47.42,2:29.20,3:14.72,5:11.60,5:35.05,7:08.58,699
1:47.47,2:29.27,3:14.82,5:11.76,5:35.22,7:08.81,698
1:47.53,2:29.34,3:14.92,5:11.93,5:35.40,7:09.04,697
1:47.58,2:29.42,3:15.01,5:12.09,5:35.57,7:09.27,696
1:47.64,2:29.49,3:15.11,5:12.25,5:35.75,7:09.50,695
1:47.69,2:29.56,3:15.21,5:12.42,5:35.92,7:09.73,694
1:47.75,2:29.63,3:15.31,5:12.58,5:36.10,7:09.96,693
1:47.80,2:29.70,3:15.40,5:12.75,5:36.28,7:10.19,692
1:47.86,2:29.78,3:15.50,5:12.91,5:36.45,7:10.42,691
1:47.91,2:29.85,3:15.60,5:13.08,5:36.63,7:10.65,690
1:47.97,2:29.92,3:15.69,5:13.24,5:36.80,7:10.88,689
1:48.02,2:30.00,3:15.79,5:13.40,5:36.98,7:11.11,688
1:48.08,2:30.07,3:15.89,5:13.57,5:37.16,7:11.35,687
1:48.13,2:30.14,3:15.99,5:13.73,5:37.33,7:11.58,686
1:48.19,2:30.21,3:16.08,5:13.90,5:37.51,7:11.81,685
1:48.24,2:30.29,3:16.18,5:14.06,5:37.69,7:12.04,684
1:48.30,2:30.36,3:16.28,5:14.23,5:37.87,7:12.28,683
1:48.35,2:30.43,3:16.38,5:14.39,5:38.04,7:12.51,682
1:48.41,2:30.51,3:16.48,5:14.56,5:38.22,7:12.74,681
1:48.47,2:30.58,3:16.57,5:14.73,5:38.40,7:12.97,680
